Key,Value
applicant,"{""customerId"": ""ABC"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""reference"": ""ABC001"", ""email"": ""customer@misys.com""}"
beneficiary,"{""customerId"": ""AMALGA"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""swiftAddress"": ""ALKHBH21001"", ""reference"": ""AMA001""}"
beneficiaryAccountNumber,string
issuingBank,"{""customerId"": ""ALKH"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""reference"": ""ALKHALIFA001""}"
advisingBank,"{""customerId"": ""BOST"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""swiftAddress"": ""FNBBUS3GXXX"", ""reference"": ""BOST001""}"
adviseThruBank,"{""customerId"": ""BOST"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""swiftAddress"": ""FNBBUS3GXXX"", ""reference"": ""BOST001""}"
adviseThruBankAccount,364381039
counterReceivedFromBank,"{""customerId"": ""ABC"", ""nameAndAddress"": {""name"": ""string"", ""addressLine1"": ""string"", ""addressLine2"": ""string string string string"", ""addressLine3"": ""string string string"", ""addressLine4"": ""string string string"", ""iso20022NameAndAddress"": {""name"": ""string"", ""department"": ""string"", ""subDepartment"": ""string"", ""streetName"": ""string"", ""buildingNumber"": ""string"", ""buildingName"": ""string"", ""floor"": ""string"", ""postBox"": ""string"", ""room"": ""string"", ""postCode"": ""string"", ""townName"": ""string"", ""townLocationName"": ""string"", ""districtName"": ""string"", ""countrySubDivision"": ""string"", ""country"": ""GB""}}, ""country"": ""GB"", ""reference"": ""ABC001"", ""email"": ""customer@misys.com""}"
principalNotApplicant,"{""customerId"": ""ABC"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""reference"": ""ABC001"", ""email"": ""customer@misys.com""}"
undertaking,"{""formOfUndertaking"": ""STANDBY-LETTER-OF-CREDIT"", ""applicableRulesUndertaking"": {""code"": ""NONE""}, ""issueDate"": ""2011-05-18"", ""expiry"": {""expiryType"": ""CONDITIONAL"", ""date"": ""2011-05-22"", ""condition"": ""string"", ""domesticExpiry"": false, ""automaticRelease"": false}, ""drawingDetails"": {""notPayableBefore"": ""2011-05-19"", ""partialDrawings"": false, ""multipleDrawings"": false}, ""governingLaw"": {""governingLawCountry"": ""GB"", ""placeOfJurisdiction"": ""Place of jurisdiction"", ""countrySubDivision"": ""string""}, ""undertakingAmount"": {""amount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""amountSpecification"": {""qualifier"": ""OTHER"", ""min"": 5, ""max"": 10}}, ""additionalAmountsCoveredUndertaking"": {""additionalAmount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""additionalAmountsdescription"": ""Additional amounts covered undertaking""}, ""availableWith"": {""availableWithType"": ""NAMED-BANK"", ""party"": {""customerId"": ""ABC"", ""nameAndAddress"": {""name"": ""string"", ""addressLine1"": ""string"", ""addressLine2"": ""string string string string"", ""addressLine3"": ""string string string"", ""addressLine4"": ""string string string"", ""iso20022NameAndAddress"": {""name"": ""string"", ""department"": ""string"", ""subDepartment"": ""string"", ""streetName"": ""string"", ""buildingNumber"": ""string"", ""buildingName"": ""string"", ""floor"": ""string"", ""postBox"": ""string"", ""room"": ""string"", ""postCode"": ""string"", ""townName"": ""string"", ""townLocationName"": ""string"", ""districtName"": ""string"", ""countrySubDivision"": ""string"", ""country"": ""GB""}}, ""country"": ""GB"", ""reference"": ""ABC001"", ""email"": ""customer@misys.com""}}, ""documentAndPresentationInstructions"": ""Document and presentation instructions"", ""termsAndConditions"": ""Terms and condition of issued undertaking"", ""renewalDetails"": {""renewal"": {""renewalAdviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""calendarDate"": ""2011-05-19"", ""isRollingRenewal"": true, ""nextExpiryDate"": ""2012-05-19"", ""nonExtensionNoticationDetails"": ""Non-extension notification details."", ""renewForPeriod"": {""periodNumber"": 2, ""periodUnit"": ""DAYS""}, ""renewalDate"": ""2011-05-19"", ""renewalOn"": true, ""renewalWhen"": ""ON-CALENDAR"", ""rollingRenewal"": {""cancellationNotice"": 0, ""everyPeriod"": {""periodNumber"": 1, ""periodUnit"": ""DAYS"", ""daysInMonth"": 0}, ""numberOf"": 1, ""renewOn"": ""EVERY"", ""adjustedFinalExpiryDate"": ""2012-05-19""}, ""useAmount"": ""CURRENT""}, ""reduction"": {}, ""regularRenewal"": {""adviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""everyPeriod"": {""periodUnit"": ""DAYS""}, ""nonExtensionNoticationDetails"": ""Non-extension notification details."", ""notificationDays"": 0, ""numberOfDays"": 0, ""numberOfRenewals"": 1, ""renewFor"": ""CALENDAR-DAYS"", ""useAmount"": ""CURRENT""}}}"
counterReceived,"{""formOfUndertaking"": ""DEMAND-GUARANTEE"", ""applicableRulesUndertaking"": {""code"": ""NONE""}, ""issueDate"": ""2011-05-18"", ""expiry"": {""expiryType"": ""CONDITIONAL"", ""approximateExpiryDate"": ""2012-06-11"", ""condition"": ""string"", ""domesticExpiry"": false, ""automaticRelease"": false}, ""drawingDetails"": {""notPayableBefore"": ""2011-05-21"", ""partialDrawings"": false, ""multipleDrawings"": false}, ""governingLaw"": {""governingLawCountry"": ""GB"", ""placeOfJurisdiction"": ""Place of jurisdiction"", ""countrySubDivision"": ""string""}, ""undertakingAmount"": {""amount"": {}, ""amountSpecification"": {""qualifier"": ""EXACT"", ""min"": 0, ""max"": 0}}, ""additionalAmountsCoveredUndertaking"": {""additionalAmount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""additionalAmountsdescription"": ""Additional amounts covered undertaking""}, ""availableWith"": {}, ""documentAndPresentationInstructions"": ""Document and presentation instructions"", ""termsAndConditions"": ""Terms and condition of issued undertaking"", ""renewalDetails"": {""renewal"": {""renewalAdviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""calendarDate"": ""2011-05-18"", ""isRollingRenewal"": true, ""nextExpiryDate"": ""2012-06-11"", ""nonExtensionNoticationDetails"": ""Non-extension notification details."", ""renewForPeriod"": {""periodNumber"": 1, ""periodUnit"": ""DAYS""}, ""renewalDate"": ""2012-05-21"", ""renewalOn"": true, ""renewalWhen"": ""ON-CALENDAR"", ""rollingRenewal"": {""cancellationNotice"": 0, ""everyPeriod"": {""periodNumber"": 1, ""periodUnit"": ""DAYS"", ""daysInMonth"": 0}, ""numberOf"": 1, ""renewOn"": ""EVERY"", ""adjustedFinalExpiryDate"": ""2011-06-11""}, ""useAmount"": ""CURRENT""}, ""reduction"": {}, ""regularRenewal"": {""adviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""everyPeriod"": {""periodUnit"": ""DAYS""}, ""nonExtensionNoticationDetails"": ""Non-extension notification details."", ""notificationDays"": 0, ""numberOfDays"": 0, ""numberOfRenewals"": 1, ""renewFor"": ""CALENDAR-DAYS"", ""useAmount"": ""CURRENT""}}}"
counterToSend,"{""formOfUndertaking"": ""STANDBY-LETTER-OF-CREDIT"", ""productType"": ""ADV"", ""applicableRulesUndertaking"": {""code"": ""NONE""}, ""issueDate"": ""2011-05-18"", ""expiry"": {""expiryType"": ""SPECIFIC-DATE"", ""date"": ""2012-06-11"", ""approximateExpiryDate"": ""2012-06-11"", ""condition"": ""string"", ""domesticExpiry"": false, ""automaticRelease"": false}, ""drawingDetails"": {""partialDrawings"": false}, ""governingLaw"": {""governingLawCountry"": ""GB"", ""placeOfJurisdiction"": ""Place of jurisdiction"", ""countrySubDivision"": ""string""}, ""undertakingAmount"": {""amount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""amountSpecification"": {""qualifier"": ""EXACT"", ""min"": 0, ""max"": 0}}, ""additionalAmountsCoveredUndertaking"": {""additionalAmount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""additionalAmountsdescription"": ""Additional amounts covered undertaking""}, ""availableWith"": {""availableWithType"": ""NAMED-BANK"", ""party"": {""customerId"": ""ABC"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""reference"": ""DAIWA001"", ""email"": ""customer@misys.com""}}, ""documentAndPresentationInstructions"": ""Document and presentation instructions"", ""termsAndConditions"": ""Terms and condition of issued undertaking"", ""renewalDetails"": {""renewal"": {""renewalAdviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""isRollingRenewal"": false, ""nonExtensionNoticationDetails"": ""string"", ""renewForPeriod"": {""periodUnit"": ""DAYS""}, ""renewalOn"": true, ""rollingRenewal"": {""cancellationNotice"": 0, ""everyPeriod"": {""periodUnit"": ""DAYS""}, ""numberOf"": 2, ""renewOn"": ""EXPIRY""}, ""useAmount"": ""CURRENT""}, ""reduction"": {}, ""regularRenewal"": {""adviseDetails"": {""advise"": true, ""adviseNoticeDays"": 0}, ""everyPeriod"": {""periodNumber"": 0, ""periodUnit"": ""DAYS"", ""daysInMonth"": 0}, ""nonExtensionNoticationDetails"": ""string"", ""notificationDays"": 0, ""numberOfDays"": 3, ""numberOfRenewals"": 2, ""renewFor"": ""CALENDAR-DAYS"", ""useAmount"": ""CURRENT""}}}"
typeOfLocalUndertaking,"{""typeOfLocalUndertakingCode"": ""ADVANCE-PAYMENT""}"
adviseThruBankUndertaking,"{""customerId"": ""DEUTSCHE"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""Name"", ""addressLine1"": ""Building Name"", ""addressLine2"": ""Department Sub department 3rd 301"", ""addressLine3"": ""1234"", ""addressLine4"": ""1 Street name"", ""iso20022NameAndAddress"": {""name"": ""Name"", ""department"": ""Department"", ""subDepartment"": ""Sub department"", ""streetName"": ""Street name"", ""buildingNumber"": ""1"", ""buildingName"": ""Building Name"", ""floor"": ""3rd"", ""postBox"": ""1234"", ""room"": ""301"", ""postCode"": ""1234"", ""townName"": ""Town A"", ""townLocationName"": ""Town Loc"", ""districtName"": ""District Name"", ""countrySubDivision"": ""Country Subd"", ""country"": ""ST""}}, ""country"": ""ST"", ""swiftAddress"": ""DEUTDEFFXXX"", ""reference"": ""ABC001"", ""contactNumbers"": [{""type"": ""TELEPHONE"", ""number"": ""+49 69 910-00""}, {""type"": ""FAX-NUMBER"", ""number"": ""+49 69 910-34225""}]}"
adviseThruBankUndertakingAccount,364381039
contractDetails,"{""referenceCode"": ""CONTRACT"", ""referenceNarrative"": ""Narrative for the contract details"", ""referenceDate"": ""2011-05-20"", ""totalOrderAmount"": {""amount"": ""100000.00"", ""currency"": ""USD""}, ""guaranteeValuePercent"": 99.75}"
finalIssuingBank,"{""customerId"": ""ABC"", ""nameAndAddress"": {""name"": ""ABC"", ""addressLine1"": ""string"", ""addressLine2"": ""string string department subDepartment"", ""addressLine3"": ""string string string"", ""addressLine4"": ""string string string"", ""iso20022NameAndAddress"": {""name"": ""ABC"", ""department"": ""department"", ""subDepartment"": ""subDepartment"", ""streetName"": ""string"", ""buildingNumber"": ""string"", ""buildingName"": ""string"", ""floor"": ""string"", ""postBox"": ""string"", ""room"": ""string"", ""postCode"": ""string"", ""townName"": ""string"", ""townLocationName"": ""string"", ""districtName"": ""string"", ""countrySubDivision"": ""string"", ""country"": ""GB""}}, ""country"": ""GB"", ""reference"": ""ABC001"", ""email"": ""customer@misys.com""}"
financialTrade,TRADE
underTakingTermsAndCondition,"{""wordingType"": ""APPLICANT-WORDING"", ""requestStandardWording"": true, ""requestLanguage"": ""ab""}"
underlyingTransactionDetails,string
transferDetails,"{""transferable"": true, ""transferableConditions"": ""string""}"
deliveryDetails,"{""deliveryByMethod"": ""COLLECTION"", ""deliveryToOrCollectionBy"": ""OTHER-ADDRESSEE"", ""deliveryToParty"": {}}"
chargeDetails,"{""ourCharges"": ""PRINCIPAL"", ""overseasChargesPayableBy"": ""PRINCIPAL"", ""deferCharges"": true, ""taxPayableBy"": ""CHARGE-PAYER"", ""preferredCurrency"": ""USD"", ""billingInvoiceAutomated"": true, ""userChargesText"": ""string""}"
confirmationDetail,"{""instruction"": ""UNCONFIRMED"", ""requestedConfirmationParty"": {}}"
shipmentDetails,"{""from"": ""string"", ""to"": ""string"", ""portOfLoading"": ""string"", ""portOfDischarge"": ""string"", ""period"": ""2 weeks before expiry of LC."", ""transhipment"": ""ALLOWED"", ""partialShipment"": ""ALLOWED"", ""incoTerms"": ""CFR"", ""incoPlace"": ""London"", ""insuranceForBuyer"": false, ""freightPayment"": ""COLLECT"", ""presentationDays"": 10, ""presentationPeriodNarrative"": {""line1"": ""string"", ""line2"": ""string"", ""line3"": ""string"", ""line4"": ""string""}, ""documentsToBeSentBy"": ""AIR-MAIL"", ""numberOfDeliveryItems"": 1, ""billNumber"": ""string"", ""vesselName"": ""string"", ""shippingCompany"": ""string"", ""flightDetails"": ""string"", ""letterOfIndemnity"": true}"
goods,"{""guaranteeAdditionalInformation"": ""string"", ""goodsCode"": ""ADMIN"", ""goodsDescription"": ""string""}"
receivedRequestType,COUNTER-RECEIVED-REQUEST-COUNTER
additionalParties,"[{""role"": ""NEW"", ""party"": {""customerId"": ""ABC"", ""legalEntityIdentifier"": ""9845003A5A79CBF12C88"", ""nameAndAddress"": {""name"": ""ABC INDUSTRIES LTD."", ""addressLine1"": ""SLOUGH ESTATES"", ""addressLine2"": ""BATH ROAD"", ""addressLine3"": ""SLOUGH""}, ""country"": ""US"", ""postalCode"": ""string"", ""reference"": ""ABC015"", ""email"": ""customer@misys.com""}}]"
gatewayTransactionRefused,False
